,gene_name,centrality,rank
165,Aacs,0.8566450784878608,1102
171,Aanat,0.4859090412720284,8246
220,Abhd2,0.6301871980829731,4822
226,Abi1,0.9366642315826182,262
237,Acaca,0.6966534372410584,3523
282,Acsl1,0.46297967403818835,8746
289,Acta1,0.46944124558175726,8595
290,Acta2,0.5697780459356961,6222
291,Actb,0.5692492558011568,6240
292,Actc1,0.47141166348977415,8553
296,Actn2,0.4020442313543142,9720
307,Acvr1c,0.749541183168333,2575
346,Adcy2,0.400524390995842,9731
347,Adcy3,0.5417466773818069,6916
348,Adcy4,0.6210613746553441,5052
349,Adcy6,0.9209429338325732,422
350,Adcy7,0.9852834712333631,14
351,Adcy8,0.47180079889340903,8542
352,Adcy9,0.5794008417236066,5990
354,Adcyap1r1,0.40219661308382315,9717
361,Adipor1,0.7038116274105736,3382
362,Adipor2,0.7621636790828437,2403
364,Adm,0.5261447033766229,7292
374,Adra1a,0.5228009023642669,7374
375,Adra1b,0.5819100172935259,5941
376,Adra2a,0.44873088319771615,9031
377,Adra2b,0.5204056129980607,7432
378,Adra2c,0.5476832671403826,6762
379,Adrb1,0.87988941752484,827
380,Adrb2,0.6497021638911631,4425
381,Adrb3,0.9504760244876951,163
413,Agrp,0.5655768910337807,6318
414,Agt,0.8759493332630052,871
416,Agtr2,0.48319316802174667,8301
417,Agtrap,0.5769662091262644,6061
420,Ahcyl1,0.6239771909296832,4979
439,Aifm1,0.8160876772646383,1644
458,Akap8,0.5770189087915979,6059
471,Akt1,0.781299596596528,2130
472,Akt2,0.8981707330837634,646
482,Aldh1a2,0.6399043288799957,4601
512,Alpl,0.567738314440012,6275
585,Anxa1,0.7856424603385842,2070
614,Ap3s1,0.4993206835355661,7947
628,Apc,0.6270277819364816,4896
639,Aplp1,0.6306100144189091,4810
642,Apoa1,0.42550004163872013,9407
644,Apoa2,0.38057267174614273,9856
645,Apobec1,0.9050143271990745,578
655,App,0.5719035830721808,6176
657,Appl1,0.5728890453103802,6154
658,Appl2,0.6294202259348681,4836
659,Aprt,0.906894732910663,557
662,Aqp3,0.5119701973200741,7644
666,Ar,0.9244929969610369,377
719,Arid1a,0.5902475150871508,5745
724,Arid5a,0.45256066094348724,8964
754,Arnt,0.3751362319355318,9905
755,Arnt2,0.42632580943162407,9393
759,Arpc1b,0.9570463352965914,131
767,Arrb1,0.6036042209138875,5449
768,Arrb2,0.9718131555294963,54
799,Ash2l,0.5358730042387335,7055
803,Asns,0.907741133280957,548
886,Atp6ap1,0.8477550349960525,1226
888,Atp6v0a1,0.8877636537770739,743
889,Atp6v0a2,0.5416215091370916,6921
890,Atp6v0b,0.8794121555644484,834
891,Atp6v0d1,0.6229968653805558,5007
893,Atp6v1a,0.9332634443977224,297
894,Atp6v1b2,0.9578426502372362,126
895,Atp6v1c1,0.8937236464680699,691
896,Atp6v1c2,0.6341672475126265,4725
897,Atp6v1d,0.6232522819582313,4999
898,Atp6v1e1,0.6088610254886256,5322
899,Atp6v1f,0.8460464156398082,1243
900,Atp6v1g2,0.40157706876074867,9726
901,Atp6v1h,0.5714747046147365,6186
933,Avp,0.3723672020357117,9914
935,Avpr1a,0.6139085955313789,5216
936,Avpr2,0.4173681971897313,9528
940,Axin1,0.6506961665163652,4404
942,Axl,0.6952388108078884,3551
980,Bad,0.6775012906536824,3880
988,Baiap2,0.5930992095828115,5672
989,Baiap2l1,0.5296885434337909,7214
1007,Bbs2,0.8578768766677083,1086
1035,Bcar1,0.6125077567883452,5245
1036,Bcar3,0.46253744201478625,8757
1038,Bcas3,0.7659671244024682,2353
1052,Bcl2l11,0.586626635369044,5827
1054,Bcl2l2,0.8403398334880742,1313
1107,Bmp7,0.6818201608465837,3802
1131,Brca1,0.943981874954884,199
1145,Brk1,0.7701610895307393,2284
1190,C2cd2l,0.5213358685612353,7414
1229,Cacybp,0.7343128540853483,2808
1230,Cad,0.4716819454012434,8549
1233,Cadm4,0.5641013874519328,6358
1236,Calb1,0.3386065316418154,9993
1238,Calca,0.45785213457183344,8860
1239,Calcb,0.500850538816756,7908
1240,Calcr,0.5143229215272488,7589
1241,Calcrl,0.6920320311315977,3616
1249,Calr,0.7683951614713429,2315
1254,Camk2a,0.37906184740886667,9870
1272,Capn10,0.7988858102906041,1899
1302,Carm1,0.49219838488496737,8098
1312,Casp3,0.6817501559187663,3805
1316,Casp8,0.5123649111853157,7638
1318,Casp9,0.5843381108813122,5881
1320,Casr,0.626037040733121,4922
1322,Cat,0.8080470945143134,1763
1323,Catsper2,0.7237409686036512,3000
1324,Cav1,0.7763835311609949,2195
1325,Cav2,0.8689880630866246,947
1328,Cbfb,0.9642696158197215,82
1329,Cbl,0.8731359100280734,896
1390,Ccdc88a,0.9343771251379278,285
1399,Cckar,0.3932700271271074,9781
1400,Cckbr,0.5937006793055986,5656
1411,Ccnd1,0.6904544224792021,3643
1413,Ccnd3,0.8317758763340438,1441
1456,Cd2ap,0.530106061836446,7207
1466,Cd38,0.4453561399254981,9087
1468,Cd4,0.4138569134201811,9582
1469,Cd40,0.7216718398458829,3043
1503,Cdc42,0.7957989335581114,1931
1511,Cdc5l,0.7797900010226323,2148
1521,Cdh13,0.7780754924039309,2173
1528,Cdh5,0.6707251733414406,4003
1557,Cdkn1b,0.6081410603708052,5336
1561,Cdo1,0.9365483585092947,264
1570,Ceacam1,0.5355413795081659,7063
1620,Cflar,0.6878387703022999,3695
1674,Chrm1,0.5126397058923318,7632
1675,Chrm3,0.4414553168524731,9158
1676,Chrm4,0.4816041944101804,8335
1699,Chuk,0.5291090838864715,7228
1714,Cited1,0.3949973388096526,9773
1715,Cited2,0.6639055091241401,4141
1716,Cited4,0.47137489192539256,8555
1747,Clec14a,0.5170891562781942,7519
1818,Cnot2,0.7848283129435043,2081
1861,Col1a1,0.8942444819260318,684
1890,Comt,0.46095231518256974,8793
1916,Corin,0.458092906949953,8854
1947,Cpeb1,0.4808069826268588,8349
1948,Cpeb2,0.629045403819243,4852
1981,Crcp,0.5298811458781417,7211
1982,Creb1,0.7250032457602018,2976
1986,Crebrf,0.8649422534920326,1004
1992,Crhr1,0.47184405197986334,8541
1993,Crhr2,0.490201120547693,8145
1999,Crk,0.676249295643938,3911
2012,Cry1,0.5259597039756811,7298
2014,Cryab,0.403567218598117,9695
2021,Crym,0.5460041827913424,6806
2043,Csnk2b,0.6817816267262277,3804
2048,Cst3,0.42550758004106787,9406
2072,Ctnna1,0.7756267907254569,2206
2074,Ctnnb1,0.6188986087985139,5093
2089,Ctsh,0.8560722457295725,1109
2119,Cxcl10,0.5599332557392309,6454
2136,Cyba,0.9567249605214323,132
2137,Cybb,0.9605923772516024,102
2139,Cyc1,0.8032272291639873,1828
2141,Cyfip1,0.921503676901503,415
2142,Cyfip2,0.8601006758175921,1056
2162,Cyp7b1,0.6221859972927277,5025
2190,Dab2ip,0.8850035805952421,768
2222,Dcaf13,0.7354003090745739,2793
2235,Dcn,0.46680802460754117,8662
2263,Ddrgk1,0.9395053527419415,235
2267,Ddx17,0.6633647666644457,4154
2268,Ddx18,0.7197048021487124,3085
2287,Ddx5,0.5172494593048139,7514
2291,Ddx54,0.829682771335451,1462
2311,Dennd4c,0.8272160132613953,1499
2387,Dll1,0.7381453539995643,2757
2389,Dll4,0.7728000600962178,2243
2458,Dnmt3a,0.9625079360202735,89
2459,Dnmt3b,0.4115483403801852,9616
2467,Dock1,0.751747278572503,2546
2512,Drd3,0.41183287947406527,9607
2519,Dsg2,0.4966233283976652,8019
2534,Dtymk,0.7669475707789803,2337
2537,Dusp1,0.4229640276778182,9445
2587,Ebi3,0.8852629411164655,763
2598,Echdc3,0.9856675013734547,12
2612,Edn1,0.7046138024306388,3362
2623,Eef2,0.5199406541540741,7450
2624,Eef2k,0.5892575151673952,5776
2636,Efna5,0.5529043324556395,6643
2647,Egfr,0.4079067910197653,9654
2649,Egln2,0.6933035888471586,3587
2651,Egr1,0.5376123087087034,7007
2652,Egr2,0.9585027939255661,119
2653,Egr3,0.48020618412232974,8364
2701,Eif4ebp1,0.9487365122844441,171
2702,Eif4ebp2,0.7110224403904566,3248
2710,Eif6,0.7665341064616511,2343
2719,Elk1,0.6050771290848707,5406
2724,Elmo1,0.8616264102030737,1042
2725,Elmo2,0.913231022136543,489
2753,Emilin1,0.7930396242764124,1966
2764,Endog,0.8816003583886782,808
2773,Enpp1,0.8485568772065406,1213
2805,Epha8,0.33322569973946814,9995
2812,Epm2aip1,0.5547013232025542,6599
2814,Epn2,0.4672642771064151,8652
2816,Epor,0.51491940788572,7568
2851,Ern1,0.4902092150053656,8144
2857,Errfi1,0.430069849989464,9336
2864,Esr1,0.6577703869681848,4260
2866,Esrra,0.4660535970890522,8682
2879,Ets1,0.5285050434743724,7242
2915,Ezh2,0.7431510192363606,2681
2926,Fabp3,0.6285252909951374,4865
2992,Fam210b,0.829133855215403,1475
3054,Fbn1,0.5544938035283499,6604
3111,Fes,0.9034167812678146,593
3121,Fgf10,0.6445027870751605,4520
3128,Fgf18,0.44151527128137547,9155
3131,Fgf23,0.6310828493112415,4796
3133,Fgf9,0.48112204369847933,8343
3185,Flt1,0.7436561650189656,2672
3186,Flt3,0.6599464416631393,4216
3188,Flt4,0.8321470019902937,1435
3213,Fos,0.931157010569596,316
3214,Fosb,0.44789048190204195,9043
3215,Fosl1,0.6465622805443106,4486
3217,Foxa1,0.35560062429503697,9968
3221,Foxc1,0.8538017361779222,1132
3231,Foxo1,0.8556518361893237,1113
3232,Foxo3,0.442120331824828,9145
3233,Foxo4,0.37082493317129345,9924
3235,Foxp2,0.5576764783106847,6521
3250,Fshb,0.48941327567093906,8166
3266,Fus,0.6729153295764755,3967
3281,Fyn,0.7911189441559057,1992
3286,Fzd4,0.7341111981299966,2812
3296,G6pc,0.35726780579232253,9963
3300,Gab1,0.42628784628979605,9394
3313,Gabrb1,0.5274289058856634,7264
3328,Gal,0.3680421223541256,9929
3355,Gas1,0.4675828691787847,8646
3369,Gba,0.8816981553149207,806
3385,Gck,0.3939360666585574,9779
3387,Gclc,0.46223355770963365,8759
3388,Gclm,0.7193113685459853,3093
3389,Gcnt1,0.8280501671289628,1486
3392,Gdap1,0.4384168691212552,9212
3424,Ggh,0.4932211086231416,8082
3428,Ggt1,0.5192730591457263,7467
3429,Ggt7,0.48266013356847093,8315
3434,Ghr,0.8002893390765765,1872
3435,Ghrh,0.3946901140245493,9775
3436,Ghrhr,0.5576363676573122,6522
3437,Ghrl,0.6014475504864011,5505
3450,Gja1,0.48108222869327427,8345
3454,Gjb2,0.5066006568133442,7778
3461,Gkap1,0.9020092793524316,608
3464,Glb1,0.5932901732013094,5665
3473,Gli3,0.5275861807330421,7258
3480,Glp1r,0.4118831238012029,9605
3516,Gna11,0.9265907972307847,349
3519,Gna14,0.5120488158613337,7642
3520,Gna15,0.8373448519071378,1359
3521,Gnai1,0.8798462601782203,829
3522,Gnai2,0.8225327495364099,1557
3523,Gnai3,0.6744077303612142,3941
3524,Gnao1,0.6642104893092132,4134
3525,Gnaq,0.4516875141518962,8980
3526,Gnas,0.7494932635331237,2576
3528,Gnaz,0.5728089201581266,6156
3529,Gnb1,0.44925228821967506,9023
3541,Gng2,0.9074654615941039,553
